# ID  glon  glat  vrad fe_h mg_fe o_fe 
2M17042006-2906243         -5.20367   7.38302 -126.065 -0.342  0.251  0.263 
2M17042549-3419534         -9.38785   4.22471   -9.840 -0.551  0.302  0.270 
2M17042880-2907074         -5.19416   7.35035 -102.478  0.314  0.066  0.010 
2M17042999-2841451         -4.84964   7.59964  -94.387 -0.803  0.349  0.285 
2M17043110-3433265         -9.55661   4.07292  122.258 -0.670  0.325  0.284 
2M17043150-3502234         -9.94111   3.78028  -71.829  0.134  0.132  0.082 
2M17043669-2832162         -4.70701   7.67438   38.782 -0.500  0.323  0.276 
2M17043808-2856079         -5.02568   7.43275 -237.121 -0.724  0.030  0.096 
2M17043839-3444004         -9.68218   3.94664   85.091  0.320  0.030  0.025 
2M17043888-3500169         -9.89781   3.78145 -173.076  0.338  0.081  0.016 
2M17043903-3459262         -9.88627   3.78955 -188.768  0.282  0.063  0.049 
2M17043913-3454380         -9.82211   3.83762  -19.915 -0.163  0.151  0.134 
2M17044373-2811179         -4.40836   7.86222  -36.807 -0.920  0.362  0.282 
2M17044479-2909485         -5.19524   7.27695 -225.523 -0.716  0.210  0.240 
2M17044643-2809351         -4.37926   7.87126   33.447 -0.861  0.298  0.617 
2M17044672-2759408         -4.24477   7.96881  -71.652  0.316  0.100  0.052 
2M17045222-2830425         -4.65169   7.64427  -99.896  0.378  0.099  0.032 
2M17045415-3434533         -9.52802   3.99532  -42.484 -0.341  0.323  0.255 
2M17045434-3437053         -9.55695   3.97268 -167.925  0.376  0.042 -0.025 
2M17045504-3424264         -9.38695   4.09792  -77.928  0.149  0.163  0.085 
2M17045593-3421338         -9.34675   4.12441 -181.564 -0.522  0.314  0.305 
2M17045675-2849233         -4.89375   7.44524  -59.631  0.435  0.014  0.010 
2M17045783-2834041         -4.68469   7.59441   56.769 -0.174  0.267  0.216 
2M17045783-3506156         -9.93829   3.66975 -101.016 -0.623  0.246  0.234 
2M17045858-2857095         -4.99452   7.36258 -106.833 -0.151  0.113  0.089 
2M17045914-2900282         -5.03793   7.32800   33.642 -0.369  0.259  0.220 
2M17050138-3503451         -9.89756   3.68532 -197.822 -0.677 -0.056 -0.018 
2M17050159-2823249         -4.53258   7.68922   -3.666 -0.824  0.376  0.365 
2M17050222-3438113         -9.55527   3.94008  -93.526 -0.109  0.216  0.212 
2M17050260-3430418         -9.45464   4.01431 -171.456 -0.101  0.084  0.072 
2M17050262-3420553         -9.32429   4.11248 -178.195 -0.321  0.261  0.219 
2M17050325-2831099         -4.63355   7.60732  -30.749 -0.168  0.260  0.230 
2M17050492-2901505         -5.04375   7.29748  -79.182 -0.887  0.285  0.271 
2M17050802-3420582         -9.31371   4.09717  -19.910 -0.604  0.330  0.268 
2M17050996-2839285         -4.73097   7.50507 -125.938 -0.547  0.379  0.283 
2M17051159-2809209         -4.32047   7.79939  -37.646 -0.296  0.253  0.225 
2M17051938-2900468         -4.99775   7.26573  113.749  0.392  0.059  0.041 
2M17052028-3425548         -9.35418   4.01390  -82.538 -0.003  0.183  0.136 
2M17052261-2826350         -4.52907   7.59589 -135.021 -0.103  0.235  0.186 
2M17052435-2831255         -4.59065   7.54272  -90.302 -1.014  0.348  0.372 
2M17052554-2848310         -4.81878   7.36954 -159.549 -0.423  0.392  0.298 
2M17052700-3440353         -9.53597   3.84818 -120.343 -0.380  0.356  0.290 
2M17052838-2857432         -4.93676   7.26981 -151.071 -0.202  0.261  0.217 
